id,slug,name,city,district,query,oldLatitude,oldLongitude,oldCoordinateSource,newLatitude,newLongitude,newCoordinateSource,formattedAddress,resultType,confidence,status,errorCode,errorMessage
63d96452-9509-436b-9d58-80713f57eeeb,bakirkoy,Bakırköy,İstanbul,Bakırköy,"Bakırköy, İstanbul, Türkiye",,,,40.9714189,28.82472199999999,Google Maps (otomatik),"Bakırköy/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
1d7d14f7-08c5-4f55-b646-af8625269441,il-balikesir,Balıkesir,Balıkesir,,"Balıkesir, Türkiye",,,,39.65329759999999,27.8903423,Google Maps (otomatik),"Balıkesir, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
e99b5673-c735-4b4a-97ee-2b66f182a172,il-bartin,Bartın,Bartın,,"Bartın, Türkiye",,,,41.637602,32.333811,Google Maps (otomatik),"Bartın, Bartın Merkez/Bartın, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
f55abf04-0f16-44e6-8959-2fcac30bbfc0,il-batman,Batman,Batman,,"Batman, Türkiye",,,,37.8895167,41.1292832,Google Maps (otomatik),"Batman, Batman Merkez/Batman, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
53d9feb4-d17e-4b31-9d2a-cdf8a13a7c4c,il-bayburt,Bayburt,Bayburt,,"Bayburt, Türkiye",,,,40.26032,40.228048,Google Maps (otomatik),"Bayburt, Bayburt Merkez/Bayburt, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
37107fe8-f588-4a30-9cd9-36cb99f36d3a,bayrampasa,Bayrampaşa,İstanbul,Bayrampaşa,"Bayrampaşa, İstanbul, Türkiye",,,,41.0481503,28.90045529999999,Google Maps (otomatik),"Bayrampaşa/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
9f9f4251-9764-44b6-be3b-58ed215feb50,bagcilar,Bağcılar,İstanbul,Bağcılar,"Bağcılar, İstanbul, Türkiye",,,,41.0456474,28.82472199999999,Google Maps (otomatik),"Bağcılar/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
45abdc8f-2f80-4d0f-9789-9203256921de,basaksehir,Başakşehir,İstanbul,Başakşehir,"Başakşehir, İstanbul, Türkiye",,,,41.0952059,28.7932517,Google Maps (otomatik),"Başakşehir, Başak, 34490 Başakşehir/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
68e4a1c2-ebc4-4d08-994e-8b5dc2345bff,beykoz,Beykoz,İstanbul,Beykoz,"Beykoz, İstanbul, Türkiye",,,,41.1429436,29.1782018,Google Maps (otomatik),"Beykoz/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
6e4e42ad-3e23-49f7-91a7-3503f3cd2933,beylikduzu,Beylikdüzü,İstanbul,Beylikdüzü,"Beylikdüzü, İstanbul, Türkiye",,,,40.9910381,28.6498144,Google Maps (otomatik),"Beylikdüzü/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
2fc0d52f-227d-4b36-81a9-cf04089013c7,beyoglu,Beyoğlu,İstanbul,Beyoğlu,"Beyoğlu, İstanbul, Türkiye",,,,41.0382864,28.9703304,Google Maps (otomatik),"Beyoğlu/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
f7005b39-8d95-4d80-a46f-935ed1d0c4d8,besiktas,Beşiktaş,İstanbul,Beşiktaş,"Beşiktaş, İstanbul, Türkiye",,,,41.068616,29.0285355,Google Maps (otomatik),"Beşiktaş/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
9515b083-c8d4-447a-9276-efc4d346eb0c,il-bilecik,Bilecik,Bilecik,,"Bilecik, Türkiye",,,,40.142573,29.97933,Google Maps (otomatik),"Bilecik, Bilecik Merkez/Bilecik, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
6ea88155-7e32-46da-a9d3-a80a55af9cdc,il-bingol,Bingöl,Bingöl,,"Bingöl, Türkiye",,,,38.885464,40.496625,Google Maps (otomatik),"Bingöl, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
aa7cad5d-bfa1-4e42-804f-21866557fdc5,il-bitlis,Bitlis,Bitlis,,"Bitlis, Türkiye",,,,38.400569,42.109502,Google Maps (otomatik),"Bitlis, Bitlis Merkez/Bitlis, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
8594f497-7985-4cc5-801d-5b2d7c9194e5,il-bolu,Bolu,Bolu,,"Bolu, Türkiye",,,,40.732541,31.608209,Google Maps (otomatik),"Bolu, Bolu Merkez/Bolu, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
4ca1e854-436d-45f1-9905-0f65c6cd6b2f,il-burdur,Burdur,Burdur,,"Burdur, Türkiye",,,,37.718336,30.282333,Google Maps (otomatik),"Burdur, Burdur Merkez/Burdur, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
9808de1b-1bb3-429e-b819-cda6f73524c6,il-bursa,Bursa,Bursa,,"Bursa, Türkiye",,,,40.1885281,29.0609636,Google Maps (otomatik),"Bursa, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
7ad56455-cdf9-44fb-ab4f-4ec8536f56ea,buyukcekmece,Büyükçekmece,İstanbul,Büyükçekmece,"Büyükçekmece, İstanbul, Türkiye",,,,41.0534024,28.5564526,Google Maps (otomatik),"Büyükçekmece/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
c12ba9f3-5aff-4f2a-bc97-ec78be5f8348,il-denizli,Denizli,Denizli,,"Denizli, Türkiye",,,,37.7830159,29.0963328,Google Maps (otomatik),"Denizli, Kumkısık, Denizli, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
4707c81b-abc2-47d3-b3e3-5f85a0db5d83,il-diyarbakir,Diyarbakır,Diyarbakır,,"Diyarbakır, Türkiye",,,,37.9249733,40.2109826,Google Maps (otomatik),"Diyarbakır, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
f8113710-8bba-4d3a-98aa-7823f34be254,dolmabahce-sarayi,Dolmabahçe Sarayı,İstanbul,Beşiktaş,"Dolmabahçe Sarayı, Beşiktaş, İstanbul, Türkiye",,,,41.0391643,29.0004594,Google Maps (otomatik),"Vişnezade, Dolmabahçe Cd., 34357 Beşiktaş/İstanbul, Türkiye",GEOMETRIC_CENTER,LOWER_PRECISION,UPDATED,,
e839f081-98e3-4f5a-a2ae-cf8f7f80fed4,il-duzce,Düzce,Düzce,,"Düzce, Türkiye",,,,40.83872,31.162609,Google Maps (otomatik),"Düzce, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
c968a5ed-c036-4bac-9462-a7eb76768b22,il-edirne,Edirne,Edirne,,"Edirne, Türkiye",,,,41.67712969999999,26.5557145,Google Maps (otomatik),"Edirne, Edirne Merkez/Edirne, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
ce243c14-dc06-465b-9e62-b96d55482fec,il-elazig,Elazığ,Elazığ,,"Elazığ, Türkiye",,,,38.674816,39.22251500000001,Google Maps (otomatik),"Elâzığ, Elazığ Merkez/Elazığ, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
cb481626-1672-4442-a320-ccf3743485c8,il-erzincan,Erzincan,Erzincan,,"Erzincan, Türkiye",,,,39.746797,39.491124,Google Maps (otomatik),"Erzincan, Erzincan Merkez/Erzincan, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
97b789c1-8685-488f-a17b-99c201035db4,il-erzurum,Erzurum,Erzurum,,"Erzurum, Türkiye",,,,39.9054993,41.2658236,Google Maps (otomatik),"Erzurum, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
319c958b-a5cc-4e6e-a792-4099a2f669dd,esenler,Esenler,İstanbul,Esenler,"Esenler, İstanbul, Türkiye",,,,41.0576987,28.865506,Google Maps (otomatik),"Esenler/İstanbul, Türkiye",APPROXIMATE,LOWER_PRECISION,UPDATED,,
